AWS Region Name,Region Code,Mean,Median,Min,Max,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10
US East (N. Virginia),us-east-1,403,388,95,823,377,395,394,382,823,95,366,374,395,427
US East (Ohio),us-east-2,432,433,402,457,421,433,435,402,452,431,433,457,433,426
US West (N. California),us-west-1,763,764,687,835,699,823,745,835,771,756,771,725,822,687
US West (Oregon),us-west-2,838,827,762,952,762,836,875,901,768,765,815,884,817,952
Africa (Cape Town),af-south-1,796,738,686,1183,701,704,749,899,753,1183,862,726,686,693
Asia Pacific (Hong Kong),ap-east-1,676,661,263,1135,263,1074,270,1071,266,1135,271,1048,274,1089
Asia Pacific (Jakarta),ap-southeast-3,965,826,804,1678,824,824,804,823,858,827,1366,813,1678,837
Asia Pacific (Mumbai),ap-south-1,559,559,532,578,578,576,532,535,578,558,557,555,563,560
Asia Pacific (Osaka),ap-northeast-3,646,663,247,1056,318,1008,252,1009,247,1056,256,1010,284,1015
Asia Pacific (Seoul),ap-northeast-2,737,700,282,1412,282,1145,283,1140,291,1412,288,1142,282,1108
Asia Pacific (Singapore),ap-southeast-1,810,770,735,1137,747,758,803,795,761,776,764,1137,735,828
Asia Pacific (Sydney),ap-southeast-2,794,788,306,1294,325,1250,326,1259,322,1282,321,1294,306,1253
Asia Pacific (Tokyo),ap-northeast-1,735,937,251,1219,321,1219,318,1022,260,1065,852,1022,251,1023
Canada (Central),ca-central-1,444,443,419,486,434,434,443,443,447,434,447,450,419,486
Europe (Frankfurt),eu-central-1,175,134,124,466,124,124,124,140,135,231,466,150,126,132
Europe (Ireland),eu-west-1,269,170,155,586,165,166,180,446,586,170,169,160,155,493
Europe (London),eu-west-2,162,124,120,394,124,120,132,394,156,123,124,122,121,199
Europe (Milan),eu-south-1,165,122,117,468,124,118,117,135,181,468,151,118,120,119
Europe (Paris),eu-west-3,116,110,96,163,96,105,98,125,132,163,98,126,114,98
Europe (Stockholm),eu-north-1,215,204,197,249,204,203,202,249,240,235,203,197,217,202
Middle East (Bahrain),me-south-1,406,362,349,764,400,369,349,410,365,764,359,350,349,349
South America (Ṣo Paulo),sa-east-1,716,824,203,905,905,203,840,817,835,905,203,812,830,806
