Vultr Region Name,Region Code,Mean,Median,Min,Max,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11
United States (Atlanta),ga-us,108,107,105,120,106,106,107,106,107,107,106,107,120,107,105
United States (Chicago),il-us,137,133,132,163,134,133,133,132,163,132,133,132,132,153,133
United States (Dallas),tx-us,130,129,128,145,145,130,129,131,128,129,128,128,129,129,128
United States (Los Angeles),lax-ca-us,156,156,155,156,155,156,155,155,155,156,156,156,156,155,156
Mexico (Mexico City),mex-mx,160,155,153,186,155,155,155,156,186,155,153,156,155,178,154
United States (Miami),fl-us,118,118,118,120,118,118,118,118,118,120,118,118,118,118,118
United States (New Jersey),nj-us,100,100,98,104,101,99,98,104,100,99,104,99,99,100,100
United States (Seattle),wa-us,178,178,177,182,178,178,178,178,178,179,178,178,178,182,177
United States (Silicon Valley),sjo-ca-us,175,168,167,204,200,170,168,204,176,168,168,168,169,168,167
Canada (Toronto),tor-ca,111,105,103,156,105,103,104,156,122,104,106,105,105,104,103
Brazil (Ṣo Paulo),sao-br,216,216,216,217,216,216,216,216,216,217,216,216,217,216,216
Netherlands,ams-nl,44,43,42,51,43,42,46,43,51,43,43,43,43,43,42
Germany (Frankfurt),fra-de,34,33,33,42,34,34,33,34,42,33,33,34,33,33,33
United Kingdom (London),lon-gb,43,38,36,72,41,38,37,72,38,37,41,38,38,54,36
Spain (Madrid),mad-es,36,34,33,50,34,34,33,34,50,37,34,35,34,34,35
France (Paris),par-fr,25,24,23,37,25,25,37,24,24,24,23,25,23,25,24
Sweden (Stockholm),sto-se,66,63,63,91,63,63,63,64,63,63,63,91,63,63,63
Poland (Warsaw),waw-pl,56,55,54,64,55,64,55,56,55,56,55,55,54,56,56
South Korea (Seoul),sel-kor,307,305,305,317,305,305,305,308,317,305,310,305,305,307,305
Singapore (Singapore),sgp,259,258,255,283,257,258,258,257,255,255,255,283,259,258,258
Japan (Tokyo),hnd-jp,243,240,239,274,239,240,240,240,244,239,242,240,239,240,274
Australia (Melbourne),mel-au,290,288,287,307,288,307,288,294,287,288,289,290,287,289,288
Australia (Sydney),syd-au,328,328,327,330,328,328,328,328,328,327,328,330,328,327,328
